Name,Sales,Series,Release,Genre,Developer,Publisher
PlayerUnknown's Battlegrounds,42,,Dec-17,Battle royale,PUBG Studios,Krafton
Diablo III,20,Diablo,May-12,Action role-playing,Blizzard Entertainment,Blizzard Entertainment
Fall Guys,10,,Aug-20,Battle royale,Mediatonic,Devolver Digital
Rust,9,,Feb-18,Survival,Facepunch Studios,Facepunch Studios
Euro Truck Simulator 2,6.5,Truck Simulator,Oct-12,Vehicle simulation,SCS Software,SCS Software
Valheim,6,,Feb-21,Survival,Iron Gate,Coffee Stain Publishing
ARMA 3,5.5,ARMA,Sep-13,Tactical shooter,Bohemia Interactive,Bohemia Interactive
Cities: Skylines,5,,Mar-15,City-building,Colossal Order,Paradox Interactive
Guild Wars 2,5,Guild Wars,Aug-12,MMORPG,ArenaNet,NCsoft
The Forest,5,,Apr-18,Survival,Endnight Games,Endnight Games
Cyberpunk 2077,4.5,,Dec-20,Action role-playing,CD Projekt Red,CD Projekt
DayZ,4,,Dec-13,Survival,Bohemia Interactive,Bohemia Interactive
Dark Souls,3.6,Dark Souls,Aug-12,Action role-playing,FromSoftware,Namco Bandai Games
Dark Souls III,3.3,Dark Souls,Apr-16,Action role-playing,FromSoftware,Bandai Namco Entertainment
Life Is Strange,3,Life Is Strange,Jan-15,Graphic adventure,Dontnod Entertainment,Square Enix
Dark Souls II,2.7,Dark Souls,Apr-14,Action role-playing,FromSoftware,Bandai Namco Games
Factorio,2.5,,Feb-16,Construction and management simulation,Wube Software,Wube Software
7 Days to Die,2,7 Days,Jun-16,Survival horror,The Fun Pimps,The Fun Pimps
Grand Theft Auto V,2,Grand Theft Auto,Apr-15,Action-adventure,Rockstar North,Rockstar Games
Planet Coaster,2,,Nov-16,Construction and management simulation,Frontier Developments,Frontier Developments
SimCity,2,SimCity,Mar-13,City-building,Electronic Arts,Electronic Arts
Space Engineers,2,,Oct-13,Simulation,Keen Software House,Keen Software House
Stickfight: The Game,2,,Sep-17,Fighting,Landfall Games,Landfall Games
Metal Gear Solid V: The Phantom Pain,1.8,Metal Gear Solid,Sep-15,"Action-adventure, stealth",Kojima Productions,Konami
American Truck Simulator,1.5,Trucks Simulator,Oct-12,Vehicle simulation,SCS Software,SCS Software
Stellaris,1.5,,May-16,"RTS, 4X, Grand Strategy",Paradox Development Studio,Paradox Interactive
Resident Evil 6,1.3,Resident Evil,Mar-13,"Third-person shooter, survival horror",Capcom,Capcom
Satisfactory,1.3,,Mar-19,Construction and management simulation,Coffee Stain Studios,Coffee Stain Publishing
Nier: Automata,1.2,Nier,Mar-17,"Action role-playing, hack and slash",PlatinumGames,Square Enix
Resident Evil 4: Ultimate HD Edition,1.2,Resident Evil,Feb-14,"Third-person shooter, survival horror",Capcom,Capcom
Kingdom Come: Deliverance,1.1,,Feb-18,Action role-playing game,Warhorse Studios,Warhorse Studios
Pac-Man Championship Edition DX+,1.1,Pac-Man,Sep-13,"Maze, arcade",Namco Bandai Games,Namco Bandai Games
Ark: Survival Evolved,1,Ark: Survival Evolved,Jun-15,"Action-adventure, Survival",Studio Wildcard,Studio Wildcard
Crusader Kings II,1,Crusader Kings,Feb-12,Grand strategy,Paradox Development Studio,Paradox Interactive
Crusader Kings III,1,Crusader Kings,Sep-20,Grand strategy,Paradox Development Studio,Paradox Interactive
Cuphead,1,,Sep-17,Run and gun,StudioMDHR,StudioMDHR
Danganronpa 2: Goodbye Despair,1,Danganronpa,Apr-16,"Visual novel, adventure",Spike Chunsoft,Spike Chunsoft
Danganronpa: Trigger Happy Havoc,1,Danganronpa,Feb-16,"Visual novel, adventure",Spike Chunsoft,Spike Chunsoft
Divinity: Original Sin II,1,Divinity,Sep-17,Role-playing game,Larian Studios,Larian Studios
Europa Universalis IV,1,Europa Universalis,Aug-13,Grand strategy,Paradox Development Studio,Paradox Interactive
Hearts of Iron IV,1,Hearts of Iron,Jun-16,"Real-time strategy, grand strategy wargame",Paradox Development Studio,Paradox Interactive
Just Survive[e],1,,Jan-15,Survival,Daybreak Game Company,Daybreak Game Company
Mordhau,1,,Apr-19,Action,Triternion,Triternion
Prison Architect,1,,Sep-12,Construction and management simulation,Introversion Software,Introversion Software
StarCraft II: Heart of the Swarm,1,StarCraft,Mar-13,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
StarCraft II: Legacy of the Void,1,StarCraft,Nov-15,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
Stardew Valley,1,,Feb-16,"Simulation, role-playing game",ConcernedApe,ConcernedApe[f]
The Stanley Parable,1,,Oct-13,Interactive fiction,Galactic Cafe,Galactic Cafe
Hollow Knight,1,,Feb-17,Metroidvania,Team Cherry,Team Cherry
